ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission,swap,profit,equity,margin_level,close_reason
2544098,2026-08-27T12:46:20,2026-08-27T12:50:36,buy,0.05,0.05,XAUUSD,4586,4583.408,4582,4595,,,-13,,,user
2544089,2026-08-27T12:43:01,2026-08-27T12:43:28,sell,0.1,0.1,XAUUSD,4589.345,4587.704000000001,4592.85,,,,16.4,,,user
2544067,2026-08-27T12:40:39,2026-08-27T12:42:25,sell,0.1,0.1,XAUUSD,4587.512,4590.212,4590.212,4586.902,,,-27,,,user
2544044,2026-08-27T12:39:19,2026-08-27T12:40:15,sell,0.1,0.1,XAUUSD,4588.656,4588.18,4592.259,4587.488,,,4.8,,,user
2544041,2026-08-27T12:38:59,2026-08-27T12:39:03,sell,0.05,0.05,XAUUSD,4588.886,4588.823,4596.85,,,,0.3,,,user
2543736,2026-08-27T12:14:29,2026-08-27T12:33:53,buy,0.01,0.01,XAUUSD,4593.831,4594.814,4586.861,4611.059,,,1,,,user
2543743,2026-08-27T12:11:58,2026-08-27T12:33:53,buy,0.01,0.01,XAUUSD,4594.097,4594.746,4587.024,4611.059,,,0.6,,,user
2543342,2026-08-27T11:25:54,2026-08-27T12:33:53,buy,0.01,0.01,XAUUSD,4595.124,4594.746,4586.861,4600.164,,,-0.4,,,user
2543715,2026-08-27T12:08:19,2026-08-27T12:33:53,buy,0.01,0.01,XAUUSD,4594.319,4594.746,4586.861,4611.059,,,0.4,,,user
2543707,2026-08-27T12:07:23,2026-08-27T12:33:53,buy,0.01,0.01,XAUUSD,4594.478,4594.746,4586.861,4600.205,,,0.3,,,user
2543090,2026-08-27T10:53:08,2026-08-27T12:06:34,buy,0.02,0.02,XAUUSD,4587.823,4593.769,4593.769,,,,11.9,,,user
2541406,2026-08-27T09:56:27,2026-08-27T10:18:58,sell,0.02,0.02,BTCUSD,80000.91,79981.3,80239.15,79488.65,,,0.39,,,user
2534518,2026-08-27T00:33:20,2026-08-27T08:08:40,sell,0.02,0.02,BTCUSD,78827.69,79665,79665,77765,,,-16.75,,,user
2536586,2026-08-27T04:17:22,2026-08-27T04:35:34,sell,0.01,0.01,XAUUSD,4626,4618.914000000001,4622.824,4615,,,7.1,,,user
2534806,2026-08-27T01:14:48,2026-08-27T01:21:58,buy,0.01,0.01,XAUUSD,4624.748,4620.636,4614.183,4720,,,-4.1,,,user
2534523,2026-08-27T00:35:13,2026-08-27T01:08:15,sell,0.01,0.01,XAUUSD,4612.233,4620.02,4619.224,4594.382,,,-7.8,,,user
2534422,2026-08-27T00:06:26,2026-08-27T00:19:33,sell,0.01,0.01,XAUUSD,4619.286,4618.041,4618.041,4606.262,,,1.2,,,user
2534410,2026-08-27T00:02:49,2026-08-27T00:06:03,buy,0.01,0.01,XAUUSD,4624.297,4620.649,4620.649,,,,-3.6,,,user
2533180,2026-08-26T17:17:37,2026-08-26T17:34:54,buy,0.1,0.1,EURUSD,1.16517,1.16534,1.16477,1.16576,,,1.7,,,user
2532878,2026-08-26T17:10:41,2026-08-26T17:17:33,sell,0.1,0.1,EURUSD,1.16494,1.1651900000000002,1.16541,1.16412,,,-2.5,,,user
2531858,2026-08-26T16:17:14,2026-08-26T16:20:48,sell,0.05,0.05,BTCUSD,78012,78135.97,78135.97,77786.32,,,-6.2,,,user
2527090,2026-08-26T12:30:11,2026-08-26T12:30:24,sell,0.01,0.01,XAUUSD,4619.589,4616.374,4624.867,,,,3.2,,,user
2527054,2026-08-26T12:29:30,2026-08-26T12:30:08,buy,0.01,0.01,XAUUSD,4629.42,4621.465,4625.176,,,,-8,,,user
2526719,2026-08-26T12:02:05,2026-08-26T12:08:49,buy,0.02,0.02,XAUUSD,4627.411,4627.496,4627.496,4679.563,,,0.2,,,user
2526064,2026-08-26T11:07:52,2026-08-26T11:18:30,sell,0.05,0.05,XAUUSD,4618.462,4622.656,4622.656,,,,-21,,,user
2525864,2026-08-26T10:49:52,2026-08-26T10:58:43,buy,0.05,0.05,XAUUSD,4624.108,4619.128,4619.128,4646.265,,,-24.9,,,user
2524924,2026-08-26T09:21:41,2026-08-26T09:23:29,buy,0.05,0.05,BTCUSD,78503.67,78390.06,78395.77,78724.8,,,-5.68,,,user
2524644,2026-08-26T09:08:46,2026-08-26T09:21:00,buy,0.04,0.04,XAUUSD,4624.96,4619.38,4619.38,4641.2,,,-22.3,,,user
2523108,2026-08-26T05:57:20,2026-08-26T05:59:10,buy,0.01,0.01,XAUUSD,4638.275,4638.342,,,,,0.1,,,user
2523105,2026-08-26T05:57:01,2026-08-26T05:59:10,buy,0.01,0.01,XAUUSD,4638.298,4638.342,,,,,,,,user
2522675,2026-08-26T04:55:51,2026-08-26T05:41:08,buy,0.01,0.01,XAUUSD,4641.71,4643.472,4633.523,,,,1.8,,,user
2522362,2026-08-26T04:05:01,2026-08-26T05:41:08,buy,0.05,0.05,XAUUSD,4643.15,4643.472,4633.627,,,,1.6,,,user
2499519,2026-08-24T11:57:39,2026-08-24T12:10:55,sell,0.05,0.05,XAUUSD,4656.519,4656.525,4656.525,,,,,,,user
2499410,2026-08-24T11:49:06,2026-08-24T11:53:59,sell,0.1,0.1,XAUUSD,4650.101,4656.607,4656.607,4637.307,,,-65.1,,,user
2499258,2026-08-24T11:40:13,2026-08-24T11:40:55,buy,0.05,0.05,XAUUSD,4660.326,4663.002,4650.444,4670.244,,,13.4,,,user
2499027,2026-08-24T11:21:17,2026-08-24T11:35:13,buy,0.05,0.05,BTCUSD,77839.98,78263.92,77730.56,78263.92,,,21.2,,,user
2498517,2026-08-24T10:30:28,2026-08-24T10:37:20,sell,0.1,0.1,XAUUSD,4643.311,4647.392,4647.392,4629.528,,,-40.8,,,user
2498478,2026-08-24T10:23:29,2026-08-24T10:28:11,sell,0.05,0.05,XAUUSD,4643.991,4643.475,4650.547,4628.299,,,2.6,,,user
2496179,2026-08-24T06:25:55,2026-08-24T06:26:25,buy,0.01,0.01,XAUUSD,4648.303,4644.101,4645.23,4661.681,,,-4.2,,,user
2491936,2026-08-23T10:05:27,2026-08-23T11:27:45,buy,0.02,0.02,BTCUSD,76631.34,77160.55,76361.42,77384.58,,,10.58,,,user
2485271,2026-08-21T11:55:16,2026-08-21T11:58:57,buy,0.01,0.01,XAUUSD,4598.747,4596.9,4596.9,4599.384,,,-1.8,,,user
2463931,2026-08-19T17:05:37,2026-08-19T17:07:21,sell,0.01,0.01,XAUUSD,4496.277,4494.363,4498.041,4494.363,,,1.9,,,user
2447013,2026-08-18T13:17:14,2026-08-18T13:28:10,buy,0.05,0.05,XAUUSD,4389.47,4390.131,4389.489,4393.499,,,3.3,,,user
2446851,2026-08-18T13:08:05,2026-08-18T13:10:01,buy,0.01,0.01,XAUUSD,4390.389,4388.338,4388.338,4396.319,,,-2.1,,,user
2446563,2026-08-18T12:41:13,2026-08-18T13:10:01,buy,0.05,0.05,XAUUSD,4391.683,4388.335,4388.335,4402.712,,,-16.7,,,user
2446714,2026-08-18T13:00:16,2026-08-18T13:03:50,buy,0.05,0.05,XAUUSD,4391.59,4395.845,4388.404,4395.845,,,21.3,,,user
2446414,2026-08-18T12:29:25,2026-08-18T12:35:02,buy,0.01,0.01,XAUUSD,4395.313,4397.325,4395.41,4397.325,,,2,,,user
2441619,2026-08-18T03:48:41,2026-08-18T05:46:41,sell,0.01,0.01,XAUUSD,4394.711,4394.587,4394.587,4385,,,0.1,,,user
2428841,2026-08-14T15:10:31,2026-08-14T15:13:10,sell,0.01,0.01,XAUUSD,4386.39,4391.175,4391.175,4377.088,,,-4.8,,,user
2428608,2026-08-14T14:50:14,2026-08-14T15:01:06,sell,0.01,0.01,XAUUSD,4379.895,4384.505,4384.505,,,,-4.6,,,user
2428535,2026-08-14T14:44:23,2026-08-14T14:49:01,sell,0.01,0.01,XAUUSD,4382.599,4382.34,4382.966,,,,0.3,,,user
2428564,2026-08-14T14:46:32,2026-08-14T14:49:01,sell,0.01,0.01,XAUUSD,4380.723,4382.34,4382.911,,,,-1.6,,,user
2428510,2026-08-14T14:41:30,2026-08-14T14:49:01,sell,0.01,0.01,XAUUSD,4384.268,4382.34,4384.443,,,,1.9,,,user
2428519,2026-08-14T14:43:01,2026-08-14T14:49:01,sell,0.01,0.01,XAUUSD,4382.598,4382.34,4482.036,,,,0.3,,,user
2426782,2026-08-14T12:27:25,2026-08-14T12:30:01,sell,0.01,0.01,XAUUSD,4377.749,4382.269,4382.269,4349.809,,,-4.5,,,user
2418530,2026-08-13T13:12:28,2026-08-13T13:29:23,sell,0.1,0.1,XAUUSD,4391.007,4386.214,4390.999,4385.013,,,47.9,,,user
2409364,2026-08-12T15:16:39,2026-08-12T15:21:46,buy,1,1,ETHUSD,1893.33,1890.3700000000001,1880.95,,,,-2.96,,,user
2408161,2026-08-12T13:41:45,2026-08-12T13:46:56,sell,0.04,0.04,XAUUSD,4412.187,4422.187,4422.187,4392.187,,,-40,,,user
2406824,2026-08-12T12:36:11,2026-08-12T12:38:11,buy,0.02,0.02,XAUUSD,4422.096,4424.150000000001,4416.191,,,,4.1,,,user
2406485,2026-08-12T12:30:08,2026-08-12T12:30:17,sell,0.02,0.02,XAUUSD,4392.068,4404.795,,,,,-25.5,,,user
2406013,2026-08-12T11:59:06,2026-08-12T12:29:51,sell,0.02,0.02,XAUUSD,4413.808,4424.417,4422.723,,,,-21.2,,,user
2406012,2026-08-12T11:59:06,2026-08-12T12:28:13,buy,0.02,0.02,XAUUSD,4414.068,4411.59,4403.983,,,,-5,,,user
2405585,2026-08-12T11:13:52,2026-08-12T11:29:52,sell,0.05,0.05,XAUUSD,4408.156,4415.202,4418.156,4388.156,,,-35.2,,,user
2404396,2026-08-12T08:24:35,2026-08-12T08:24:38,sell,0.05,0.05,XAUUSD,4408.445,4408.978,4418.57,4406.17,,,-2.7,,,user
2402372,2026-08-12T05:24:19,2026-08-12T05:56:45,sell,0.01,0.01,XAUUSD,4393.945,4390.102,4391.751,4379.169,,,3.8,,,user
2402251,2026-08-12T05:08:34,2026-08-12T05:16:00,buy,0.01,0.01,XAUUSD,4403.76,4398.977,4398.977,4415.064,,,-4.8,,,user
2402063,2026-08-12T04:42:19,2026-08-12T05:05:38,sell,0.01,0.01,XAUUSD,4397.228,4403.129,4403.129,4385.997,,,-5.9,,,user
2384598,2026-08-10T10:23:35,2026-08-10T10:33:04,buy,0.01,0.01,XAUUSD,4343.777,4341.116,,4343.81,,,-2.7,,,user
2381863,2026-08-10T05:08:31,2026-08-10T05:31:13,buy,0.01,0.01,XAUUSD,4336.858,4331.965,4331.965,,,,-4.9,,,user
2379981,2026-08-10T01:00:32,2026-08-10T01:01:25,sell,0.01,0.01,XAUUSD,4329.147,4334.344,4334.344,4318.18,,,-5.2,,,user
2379958,2026-08-10T00:54:36,2026-08-10T00:56:13,buy,0.01,0.01,XAUUSD,4335.234,4331.317,4331.889,4341.488,,,-3.9,,,user
2379544,2026-08-10T00:05:24,2026-08-10T00:16:00,buy,0.01,0.01,XAUUSD,4341.892,4341.99,4341.99,4347.404,,,0.1,,,user
2379313,2026-08-09T23:24:21,2026-08-09T23:31:45,buy,0.01,0.01,XAUUSD,4348.015,4344.708,4344.708,4354.78,,,-3.3,,,user
2378754,2026-08-09T09:56:41,2026-08-09T10:15:32,buy,0.02,0.02,BTCUSD,64803.01,64888.19,64844.44,64919.43,,,1.7,,,user
2378448,2026-08-08T19:56:21,2026-08-08T21:57:39,sell,0.01,0.01,BTCUSD,65040.48,64965.99,65039.65,64965.99,,,0.74,,,user
2378406,2026-08-08T16:38:56,2026-08-08T16:55:43,sell,0.01,0.01,BTCUSD,65004.84,65048.130000000005,65047.21,,,,-0.43,,,user
2365860,2026-08-07T00:47:57,2026-08-07T00:49:13,buy,0.01,0.01,XAUUSD,4233.955,4232.63,4232.63,4241.422,,,-1.3,,,user
2365794,2026-08-07T00:19:33,2026-08-07T00:20:26,sell,0.01,0.01,XAUUSD,4241.831,4243.45,4243.45,4232.449,,,-1.6,,,user
2361418,2026-08-06T13:07:06,2026-08-06T13:08:15,sell,0.01,0.01,XAUUSD,4244.897,4244.871,4244.694,4243.728,,,,,,user
2360832,2026-08-06T12:32:38,2026-08-06T12:43:30,buy,0.01,0.01,XAUUSD,4269.413,4266.178,4266.178,4275.848,,,-3.2,,,user
2360812,2026-08-06T12:31:56,2026-08-06T12:32:15,buy,0.01,0.01,XAUUSD,4267.916,4268.578,4265.297,4274.213,,,0.7,,,user
2360807,2026-08-06T12:31:40,2026-08-06T12:31:48,buy,0.01,0.01,XAUUSD,4266.998,4267.518,4264.284,4273.357,,,0.5,,,user
2360773,2026-08-06T12:29:41,2026-08-06T12:30:13,buy,0.01,0.01,XAUUSD,4260.887,4258.3820000000005,4257.609,4268.169,,,-2.5,,,user
2360020,2026-08-06T11:53:44,2026-08-06T11:56:26,buy,0.01,0.01,XAUUSD,4254.407,4261.6,4251.036,4261.6,,,7.2,,,user
2353682,2026-08-06T00:01:25,2026-08-06T00:03:40,sell,0.01,0.01,XAUUSD,4267.422,4266.819,4271.374,4262.47,,,0.6,,,user
2351237,2026-08-05T15:10:21,2026-08-05T17:52:17,buy,0.01,0.01,BTCUSD,64668.21,64666.72,64668.05,65000.95,,,-0.01,,,user
2345587,2026-08-05T08:57:00,2026-08-05T11:35:55,sell,0.01,0.01,BTCUSD,64096.32,64065.62,64205.61,63892.51,,,0.31,,,user
2346711,2026-08-05T11:04:49,2026-08-05T11:15:08,buy,0.01,0.01,XAUUSD,4163.34,4171.387,4165.397,4171.387,,,8,,,user
2337447,2026-08-04T14:31:01,2026-08-04T14:40:15,sell,0.01,0.01,XAUUSD,4081.182,4079.758,4084.24,4068.11,,,1.4,,,user
2337342,2026-08-04T14:26:05,2026-08-04T14:27:38,sell,0.01,0.01,XAUUSD,4082.619,4085,4086.206,4073.264,,,-2.4,,,user
2337328,2026-08-04T14:24:37,2026-08-04T14:24:54,sell,0.01,0.01,XAUUSD,4081.868,4082.343,4085.05,4073.01,,,-0.5,,,user
2334434,2026-08-04T11:03:43,2026-08-04T11:27:18,buy,0.01,0.01,XAUUSD,4054.578,4058.579,4058.579,4066.653,,,4,,,user
2329187,2026-08-04T01:12:09,2026-08-04T01:48:01,buy,0.01,0.01,GBPJPY,211.533,211.46,211.329,,,,-0.64,,,user
2329004,2026-08-04T00:28:58,2026-08-04T00:39:23,buy,0.01,0.01,XAUUSD,4060.888,4057.101,4057.101,4069.141,,,-3.8,,,user
2328991,2026-08-04T00:22:57,2026-08-04T00:25:30,buy,0.01,0.01,XAUUSD,4060.416,4058.4790000000003,4056.427,4068.866,,,-1.9,,,user
2328989,2026-08-04T00:21:33,2026-08-04T00:21:34,buy,0.01,0.01,XAUUSD,4060.737,4060.3540000000003,4056.505,4068.548,,,-0.4,,,user
2328957,2026-08-04T00:06:24,2026-08-04T00:21:19,buy,0.01,0.01,XAUUSD,4060.534,4060.417,4056.381,4080.029,,,-0.1,,,user
2328948,2026-08-04T00:00:14,2026-08-04T00:03:12,buy,0.01,0.01,XAUUSD,4054.534,4058.881,4058.881,4066.574,,,4.3,,,user
2327624,2026-08-03T16:03:13,2026-08-03T17:04:14,buy,0.01,0.01,XAUUSD,4037.579,4033.885,4033.885,,,,-3.7,,,user
2327360,2026-08-03T15:41:13,2026-08-03T16:02:34,buy,0.04,0.04,XAUUSD,4037.838,4035.948,4032.84,4053.639,,,-7.6,,,user
2327047,2026-08-03T15:09:25,2026-08-03T15:25:56,buy,0.01,0.01,XAUUSD,4034.802,4034.804,4034.804,,,,,,,user
2326869,2026-08-03T14:50:06,2026-08-03T15:00:18,buy,0.01,0.01,XAUUSD,4035.721,4035.756,4035.756,,,,,,,user
2326888,2026-08-03T14:52:27,2026-08-03T15:00:18,buy,0.01,0.01,XAUUSD,4035.067,4035.709,4035.709,,,,0.6,,,user
2326634,2026-08-03T14:24:46,2026-08-03T14:30:27,buy,0.01,0.01,XAUUSD,4034.634,4032.9030000000002,4029.337,4054.054,,,-1.7,,,user
2326155,2026-08-03T13:45:01,2026-08-03T14:08:20,buy,0.01,0.01,XAUUSD,4032.751,4030.9320000000002,4025.899,4043.249,,,-1.8,,,user
2325727,2026-08-03T13:20:44,2026-08-03T13:21:02,buy,0.01,0.01,EURUSD,1.15289,1.15291,1.15258,1.15331,,,0.02,,,user
2325646,2026-08-03T13:16:25,2026-08-03T13:19:26,sell,0.01,0.01,XAUUSD,4038.266,4036.232,4041.979,4032.157,,,2,,,user
2325479,2026-08-03T13:08:05,2026-08-03T13:09:25,sell,0.01,0.01,XAUUSD,4044.296,4044.4089999999997,4047.33,4043.733,,,-0.1,,,user
2325450,2026-08-03T13:06:14,2026-08-03T13:06:27,sell,0.01,0.01,XAUUSD,4045.295,4044.772,4101.108,3754.988,,,0.5,,,user
2325427,2026-08-03T13:05:06,2026-08-03T13:05:49,sell,0.1,0.1,XAUUSD,4042.719,4045.056,4046.074,4013.678,,,-23.4,,,user
2325383,2026-08-03T13:03:04,2026-08-03T13:03:18,sell,0.15,0.15,XAUUSD,4042.406,4042.632,4046.191,4023.116,,,-3.4,,,user
2325373,2026-08-03T13:02:49,2026-08-03T13:02:52,sell,0.15,0.15,XAUUSD,4041.691,4042.156,4045.405,4022.33,,,-7,,,user
2325347,2026-08-03T13:01:28,2026-08-03T13:01:43,sell,0.19,0.19,XAUUSD,4047.391,4046.6259999999997,4049.5,4026.425,,,14.5,,,user
2325332,2026-08-03T13:00:47,2026-08-03T13:01:06,buy,0.25,0.25,XAUUSD,4049.078,4047.291,4047.291,4064.828,,,-44.7,,,user
2325314,2026-08-03T13:00:16,2026-08-03T13:00:33,buy,0.25,0.25,XAUUSD,4053.203,4050.4590000000003,4050.35,4067.203,,,-68.6,,,user
2325305,2026-08-03T12:59:14,2026-08-03T12:59:33,buy,0.25,0.25,XAUUSD,4047.498,4047.761,4045.871,4063.408,,,6.6,,,user
2325240,2026-08-03T12:51:03,2026-08-03T12:51:22,sell,0.02,0.02,XAUUSD,4044.252,4044.3689999999997,4047.58,4021.279,,,-0.2,,,user
2325203,2026-08-03T12:45:48,2026-08-03T12:46:10,buy,0.1,0.1,XAUUSD,4046.118,4046.223,4042.332,4069.654,,,1.1,,,user
2325070,2026-08-03T12:37:44,2026-08-03T12:45:14,sell,0.05,0.05,XAUUSD,4047.464,4046.356,4046.356,4037.289,,,5.5,,,user
2324448,2026-08-03T11:40:23,2026-08-03T12:11:08,sell,0.03,0.03,GBPNZD,2.29377,2.29347,2.29582,2.28912,,,0.53,,,user
2319245,2026-08-03T00:36:03,2026-08-03T00:47:50,sell,0.01,0.01,XAUUSD,4063.365,4056.806,4063.24,4054.297,,,6.6,,,user
2319267,2026-08-03T00:42:01,2026-08-03T00:47:34,sell,0.02,0.02,XAUUSD,4059.491,4056.663,4062.853,4056.663,,,5.7,,,user
2319225,2026-08-03T00:31:26,2026-08-03T00:35:11,buy,0.01,0.01,GBPJPY,211.269,210.761,210.761,212.87,,,-3.2,,,user
2319126,2026-08-02T23:43:31,2026-08-03T00:27:45,buy,0.02,0.02,GBPJPY,212.938,212.542,212.542,213.496,,,-5.08,,,user
2315777,2026-07-31T15:38:59,2026-07-31T16:01:51,buy,0.1,0.1,XAUUSD,4042.158,4044.671,4044.671,,,,25.1,,,user
2315156,2026-07-31T14:37:53,2026-07-31T14:40:56,buy,0.1,0.1,XAUUSD,4040.972,4042.003,4038.462,4042.003,,,10.3,,,user
2314920,2026-07-31T14:17:37,2026-07-31T14:24:23,buy,0.03,0.03,XAUUSD,4034.503,4034.013,4034.587,4054.825,,,-1.5,,,user
2312215,2026-07-31T10:43:37,2026-07-31T10:51:25,buy,0.05,0.1,XAUUSD,4054.646,4054.874,4054.874,4058.611,,,1.1,,,user
2312215,2026-07-31T10:43:37,2026-07-31T10:48:28,buy,0.05,0.1,XAUUSD,4054.646,4056.2490000000003,4054.874,4058.611,,,8,,,user
2312173,2026-07-31T10:30:46,2026-07-31T10:38:24,buy,0.1,0.1,XAUUSD,4055.205,4053.022,4053.022,4060.65,,,-21.8,,,user
2310056,2026-07-31T05:52:08,2026-07-31T06:05:40,sell,0.01,0.01,XAUUSD,4074.19,4080.282,4080.282,4061.879,,,-6.1,,,user
2309928,2026-07-31T05:22:19,2026-07-31T05:33:23,buy,0.01,0.01,XAUUSD,4081.27,4079.045,4079.045,4085.251,,,-2.2,,,user
2308187,2026-07-30T17:32:09,2026-07-30T17:36:57,sell,0.05,0.05,XAUUSD,4100.931,4105.455,4105.455,4093.158,,,-22.6,,,user
2308055,2026-07-30T17:13:21,2026-07-30T17:23:00,sell,0.05,0.05,XAUUSD,4107.395,4107.389,4107.389,4099.337,,,,,,user
2306744,2026-07-30T14:53:46,2026-07-30T15:08:33,sell,0.05,0.05,XAUUSD,4098.84,4092.4829999999997,4095.557,,,,31.8,,,user
2302395,2026-07-30T10:26:46,2026-07-30T10:48:39,sell,0.1,0.1,GBPCAD,1.87873,1.8818000000000001,1.8818000000000001,1.87367,,,-21.87,,,user
2301624,2026-07-30T08:50:41,2026-07-30T08:57:15,sell,0.05,0.05,XAUUSD,4062.98,4060.4849999999997,4067.633,4042.949,,,12.5,,,user
2301012,2026-07-30T08:09:07,2026-07-30T08:12:39,sell,0.05,0.05,XAUUSD,4049.892,4054.862,4055.974,4043.285,,,-24.9,,,user
2300921,2026-07-30T08:01:20,2026-07-30T08:03:19,sell,0.05,0.05,XAUUSD,4038.067,4040.506,4040.506,4034.337,,,-12.2,,,user
2300739,2026-07-30T07:35:48,2026-07-30T07:39:56,sell,0.01,0.01,XAUUSD,4040.76,4040.744,4040.744,4035.905,,,,,,user
2297277,2026-07-29T20:48:43,2026-07-29T20:49:49,buy,0.5,0.5,XAUUSD,4069.328,4067.307,4067.307,4071.149,,,-101.1,,,user
2297275,2026-07-29T20:47:46,2026-07-29T20:48:12,buy,0.5,0.5,XAUUSD,4068.033,4068.1600000000003,4066.798,4121.099,,,6.4,,,user
2297270,2026-07-29T20:46:17,2026-07-29T20:47:12,buy,0.5,0.5,XAUUSD,4067.986,4068.103,4067.989,4121.227,,,5.9,,,user
2297265,2026-07-29T20:44:56,2026-07-29T20:45:02,buy,1,1,XAUUSD,4067.688,4066.398,4066.398,4097.496,,,-129,,,user
2297264,2026-07-29T20:44:29,2026-07-29T20:44:53,buy,1,1,XAUUSD,4068.953,4067.219,4067.219,4098.317,,,-173.4,,,user
2297261,2026-07-29T20:43:28,2026-07-29T20:43:32,buy,1,1,XAUUSD,4067.431,4068.015,4066.6,4097.698,,,58.4,,,user
2297245,2026-07-29T20:41:26,2026-07-29T20:42:01,buy,1,1,XAUUSD,4065.875,4065.998,4064.548,4095.646,,,12.3,,,user
2297244,2026-07-29T20:41:10,2026-07-29T20:41:12,buy,1,1,XAUUSD,4065.336,4065.7200000000003,4063.42,4094.517,,,38.4,,,user
2297243,2026-07-29T20:40:52,2026-07-29T20:40:55,buy,1,1,XAUUSD,4065.087,4065.177,4063.171,4094.268,,,9,,,user
2297242,2026-07-29T20:40:33,2026-07-29T20:40:35,buy,1,1,XAUUSD,4065.032,4064.855,4063.09,4094.187,,,-17.7,,,user
2297237,2026-07-29T20:40:08,2026-07-29T20:40:16,buy,1,1,XAUUSD,4064.321,4064.502,4061.55,4093.42,,,18.1,,,user
2297236,2026-07-29T20:39:46,2026-07-29T20:39:57,buy,1,1,XAUUSD,4062.716,4063.081,4058.925,4090.795,,,36.5,,,user
2297231,2026-07-29T20:36:52,2026-07-29T20:39:57,buy,0.01,0.01,XAUUSD,4060.367,4063.081,4057.27,4087.582,,,2.7,,,user
2297140,2026-07-29T20:06:52,2026-07-29T20:35:45,buy,0.01,0.01,XAUUSD,4051.642,4058.4120000000003,4041.697,4068.203,,,6.8,,,user
2297022,2026-07-29T19:55:15,2026-07-29T19:58:10,buy,0.01,0.01,XAUUSD,4060.372,4050.246,4050.246,4088.276,,,-10.1,,,user
2296834,2026-07-29T19:21:18,2026-07-29T19:21:20,sell,0.01,0.01,XAUUSD,4089.735,4088.815,4090.93,4083.68,,,0.9,,,user
2296735,2026-07-29T19:11:34,2026-07-29T19:11:34,sell,0.01,0.01,XAUUSD,4096.826,4097.174,4097.174,4089.925,,,-0.3,,,user
2296723,2026-07-29T19:09:23,2026-07-29T19:10:40,sell,0.01,0.01,XAUUSD,4095.256,4092.223,4101.345,4092.223,,,3,,,user
2296718,2026-07-29T19:07:39,2026-07-29T19:07:42,sell,0.01,0.01,XAUUSD,4101.294,4101.282999999999,4103.013,4093.861,,,,,,user
2296701,2026-07-29T19:05:37,2026-07-29T19:05:40,sell,0.01,0.01,XAUUSD,4105.585,4104.331,4108.552,4089.742,,,1.3,,,user
2296685,2026-07-29T19:04:23,2026-07-29T19:04:25,sell,0.01,0.01,XAUUSD,4107.548,4107.34,4112.196,4093.386,,,0.2,,,user
2296670,2026-07-29T19:02:43,2026-07-29T19:02:49,buy,0.01,0.01,XAUUSD,4109.57,4109.481,4107.721,4125.152,,,-0.1,,,user
2296632,2026-07-29T19:00:12,2026-07-29T19:00:18,buy,0.01,0.01,XAUUSD,4106.795,4108.736,4105.091,4121.759,,,1.9,,,user
2296586,2026-07-29T18:55:25,2026-07-29T18:55:29,sell,0.01,0.01,XAUUSD,4104.209,4104.939,,4089.347,,,-0.7,,,user
2296554,2026-07-29T18:53:35,2026-07-29T18:53:38,buy,0.01,0.01,XAUUSD,4104.46,4105.492,,4118.45,,,1,,,user
